week,open,high,low,close,source_rows,bad,first_date,last_date,valid_hlc,valid_ohlc,segment
2020-08-28,11581,12046,11528.25,12002,6824,0,2020-08-23T22:00:00Z,2020-08-28T20:59:00Z,True,True,fixed
2020-09-04,12002.75,12465.25,11142,11538.25,6825,0,2020-08-30T22:00:00Z,2020-09-04T20:59:00Z,True,True,fixed
2020-09-11,11531,11585,10935.25,11071,6600,0,2020-09-06T22:00:00Z,2020-09-11T20:59:00Z,True,True,fixed
2020-09-18,11104,11539,10742,10938.5,6822,0,2020-09-13T22:00:00Z,2020-09-18T20:59:00Z,True,True,fixed
2020-09-25,10920,11222,10656.5,11135,6825,0,2020-09-20T22:00:00Z,2020-09-25T20:59:00Z,True,True,fixed
2020-10-02,11145,11604.75,11140.25,11251.5,6825,0,2020-09-27T22:00:00Z,2020-10-02T20:59:00Z,True,True,fixed
2020-10-09,11308.5,11739,11197.5,11727.75,6825,0,2020-10-04T22:00:00Z,2020-10-09T20:59:00Z,True,True,fixed
2020-10-16,11722.75,12249,11687.75,11795.25,6825,0,2020-10-11T22:00:00Z,2020-10-16T20:59:00Z,True,True,fixed
2020-10-23,11816.75,11950.5,11511,11669.25,6825,0,2020-10-18T22:00:00Z,2020-10-23T20:59:00Z,True,True,fixed
2020-10-30,11634,11695.5,10944.5,11089,6824,0,2020-10-25T22:00:00Z,2020-10-30T20:59:00Z,True,True,fixed
2020-11-06,11034.5,12119.5,10942.25,12094.5,6824,0,2020-11-01T23:00:00Z,2020-11-06T21:59:00Z,True,True,fixed
2020-11-13,12139.25,12408.75,11503.25,11945.25,6824,0,2020-11-08T23:00:00Z,2020-11-13T21:59:00Z,True,True,fixed
2020-11-20,11957.25,12096.25,11804.5,11908,6825,0,2020-11-15T23:00:00Z,2020-11-20T21:59:00Z,True,True,fixed
2020-11-27,11894,12307.5,11808.25,12273.25,6390,0,2020-11-22T23:00:00Z,2020-11-27T18:14:00Z,True,True,fixed
2020-12-04,12286.5,12540.25,12086,12509.25,6825,0,2020-11-29T23:00:00Z,2020-12-04T21:59:00Z,True,True,fixed
2020-12-11,12525,12675,12218.25,12365.5,6825,0,2020-12-06T23:00:00Z,2020-12-11T21:59:00Z,True,True,fixed
2020-12-18,12405.5,12789.75,12386.5,12748.5,6825,0,2020-12-13T23:00:00Z,2020-12-18T21:59:00Z,True,True,fixed
2020-12-25,12760,12782.5,12461,12703,5250,0,2020-12-20T23:00:00Z,2020-12-24T18:14:00Z,False,False,fixed
2021-01-01,12676.25,12918.25,12655.25,12883,5460,0,2020-12-27T23:00:00Z,2020-12-31T21:59:00Z,False,False,fixed
2021-01-08,12889,13125,12491.25,13123.25,6825,0,2021-01-03T23:00:00Z,2021-01-08T21:59:00Z,True,True,fixed
2021-01-15,13093.25,13105.25,12743.5,12759,6825,0,2021-01-10T23:00:00Z,2021-01-15T21:59:00Z,True,True,fixed
2021-01-22,12774.25,13423.5,12727,13355.25,6600,0,2021-01-17T23:00:00Z,2021-01-22T21:59:00Z,True,True,fixed
2021-01-29,13370,13599.75,12829,12870.5,6824,0,2021-01-24T23:00:00Z,2021-01-29T21:59:00Z,True,True,fixed
2021-02-05,12849,13638.5,12727.25,13603.5,6825,0,2021-01-31T23:00:00Z,2021-02-05T21:59:00Z,True,True,fixed
2021-02-12,13623.75,13820.75,13516.75,13820.75,6824,0,2021-02-07T23:00:00Z,2021-02-12T21:59:00Z,True,True,fixed
2021-02-19,13829.5,13900.5,13468,13573,6599,0,2021-02-14T23:00:00Z,2021-02-19T21:59:00Z,True,True,fixed
2021-02-26,13585,13629,12662.25,12905.75,6825,0,2021-02-21T23:00:00Z,2021-02-26T21:59:00Z,True,True,fixed
2021-03-05,12957.5,13328.25,12207.25,12652.5,6825,0,2021-02-28T23:00:00Z,2021-03-05T21:59:00Z,True,True,fixed
2021-03-12,12715,13119.25,12281.75,12936.25,6825,0,2021-03-07T23:00:00Z,2021-03-12T21:59:00Z,True,True,fixed
