asset,rule,direction,signal,entry,exit,entry_open,exit_close,gross,net10,net25
SP500,sweep_1,1,2000-06-30,2000-07-07,2000-07-28,1454.5999755859375,1419.8900146484375,-0.023862203712411212,-0.024862203712411213,-0.026362203712411211
SP500,sweep_1,1,2000-09-29,2000-10-06,2000-10-27,1436.52001953125,1379.5799560546875,-0.03963750083701767,-0.04063750083701767,-0.042137500837017672
SP500,sweep_1,-1,2000-10-27,2000-11-03,2000-11-24,1379.5799560546875,1341.77001953125,0.027406846814131747,0.026406846814131746,0.024906846814131748
SP500,sweep_1,1,2000-11-24,2000-12-01,2000-12-22,1341.77001953125,1305.949951171875,-0.026696131108883137,-0.027696131108883137,-0.029196131108883135
SP500,sweep_1,1,2000-12-22,2000-12-29,2001-01-19,1305.969970703125,1342.5400390625,0.028002227600750995,0.027002227600750994,0.025502227600750996
SP500,sweep_1,-1,2001-02-02,2001-02-09,2001-03-02,1349.469970703125,1234.1800537109375,0.085433480918524651,0.08443348091852465,0.082933480918524649
SP500,sweep_1,1,2001-03-02,2001-03-09,2001-03-30,1234.1800537109375,1160.3299560546875,-0.059837377402265801,-0.060837377402265802,-0.062337377402265803
SP500,sweep_1,-1,2001-03-30,2001-04-06,2001-04-27,1160.3299560546875,1253.050048828125,-0.079908384929318732,-0.080908384929318733,-0.082408384929318734
SP500,sweep_1,-1,2001-05-25,2001-06-01,2001-06-22,1277.8900146484375,1225.3499755859375,0.041114680027415695,0.040114680027415694,0.038614680027415693
SP500,sweep_1,1,2001-06-29,2001-07-06,2001-07-27,1224.4200439453125,1205.8199462890625,-0.015190945091291486,-0.016190945091291487,-0.017690945091291484
SP500,sweep_1,1,2001-07-27,2001-08-03,2001-08-24,1205.8199462890625,1184.9300537109375,-0.01732422211327167,-0.018324222113271671,-0.019824222113271669
SP500,sweep_1,1,2001-08-24,2001-08-31,2001-09-21,1184.9300537109375,965.79998779296875,-0.18493080265092621,-0.18593080265092621,-0.18743080265092621
SP500,sweep_1,-1,2001-10-19,2001-10-26,2001-11-16,1073.47998046875,1138.6500244140625,-0.060709137693331749,-0.06170913769333175,-0.063209137693331752
SP500,sweep_1,-1,2001-12-07,2001-12-14,2002-01-04,1158.31005859375,1172.510009765625,-0.012259196979705456,-0.013259196979705457,-0.014759196979705456
SP500,sweep_1,-1,2002-01-11,2002-01-18,2002-02-08,1145.5999755859375,1096.219970703125,0.043104055460158497,0.042104055460158496,0.040604055460158495
SP500,sweep_1,1,2002-02-08,2002-02-15,2002-03-08,1096.219970703125,1164.31005859375,0.062113526217691062,0.061113526217691061,0.05961352621769106
SP500,sweep_1,-1,2002-03-15,2002-03-22,2002-04-12,1166.1600341796875,1111.010009765625,0.047291986346330805,0.046291986346330805,0.044791986346330803
SP500,sweep_1,-1,2002-06-21,2002-06-28,2002-07-19,989.1400146484375,847.75,0.14294236665644411,0.14194236665644411,0.14044236665644411
SP500,sweep_1,1,2002-07-26,2002-08-02,2002-08-23,852.84002685546875,940.8599853515625,0.10320805277003076,0.10220805277003076,0.10070805277003075
SP500,sweep_1,-1,2002-09-13,2002-09-20,2002-10-11,889.80999755859375,835.32000732421875,0.061237781530755209,0.060237781530755208,0.058737781530755206
SP500,sweep_1,1,2002-10-11,2002-10-18,2002-11-08,835.32000732421875,894.739990234375,0.071134394470565132,0.070134394470565131,0.06863439447056513
SP500,sweep_1,-1,2002-11-08,2002-11-15,2002-12-06,894.739990234375,912.22998046875,-0.019547567366239527,-0.020547567366239528,-0.022047567366239525
SP500,sweep_1,1,2002-12-20,2002-12-27,2003-01-17,895.739990234375,901.780029296875,0.0067430717935452744,0.0057430717935452744,0.0042430717935452739
SP500,sweep_1,1,2003-02-14,2003-02-21,2003-03-14,834.8900146484375,833.27001953125,-0.0019403694962978335,-0.0029403694962978335,-0.004440369496297834
SP500,sweep_1,1,2003-03-14,2003-03-21,2003-04-11,833.27001953125,868.29998779296875,0.042039155904618486,0.041039155904618485,0.039539155904618484
SP500,sweep_1,-1,2003-04-11,2003-04-18,2003-05-09,868.29998779296875,933.40997314453125,-0.074985588237836964,-0.075985588237836965,-0.077485588237836966
SP500,sweep_1,1,2003-05-23,2003-05-30,2003-06-20,933.219970703125,995.69000244140625,0.066940307429569801,0.0659403074295698,0.064440307429569799
SP500,sweep_1,-1,2003-06-20,2003-06-27,2003-07-18,995.69000244140625,993.32000732421875,0.0023802540061428346,0.0013802540061428345,-0.0001197459938571655
SP500,sweep_1,1,2003-07-25,2003-08-01,2003-08-22,998.67999267578125,993.05999755859375,-0.0056274233572355392,-0.0066274233572355392,-0.0081274233572355397
SP500,sweep_1,1,2003-08-29,2003-09-05,2003-09-26,1008.010009765625,996.8499755859375,-0.011071352537741497,-0.012071352537741498,-0.013571352537741497
SP500,sweep_1,-1,2003-10-10,2003-10-17,2003-11-07,1038.06005859375,1053.2099609375,-0.014594437208453437,-0.015594437208453438,-0.017094437208453436
SP500,sweep_1,-1,2004-02-20,2004-02-27,2004-03-19,1144.1099853515625,1109.780029296875,0.030005818054405498,0.029005818054405497,0.027505818054405499
