asset,rule,direction,era,n,mean,excess
MPS,fvg_disp,-1,1990,1,0.01319264420408639,-0.0077822271088596913
MPS,fvg_disp,-1,2000,37,-0.00081667737297858186,-0.0047710128518901372
MPS,fvg_disp,-1,2010,56,0.0098158325387904255,-0.025084711152543685
MPS,fvg_disp,-1,2020,25,0.017865059676017175,0.019402346926829711
MPS,fvg_disp,1,2000,45,0.0053735587037775662,0.0093278941826891257
MPS,fvg_disp,1,2010,26,-0.043257600844459669,-0.0083570571531255619
MPS,fvg_disp,1,2020,23,0.017573974424860691,0.016036687174048155
MPS,sweep_fvg,1,2000,17,0.030470241806221651,0.034424577285133214
MPS,sweep_fvg,1,2010,11,-0.01455186354161132,0.020348680149722794
MPS,sweep_fvg,1,2020,6,0.030919886608407294,0.029382599357594758
MPS,sweep_fvg,-1,2000,8,-0.027297873928339503,-0.031252209407251062
MPS,sweep_fvg,-1,2010,22,0.058990654582901841,0.024090110891567731
MPS,sweep_fvg,-1,2020,8,0.0032363504618479755,0.0047736377126605112
MPS_ADJ,sweep_1,1,1990,10,-0.03042836539434627,-0.0094534934298530267
MPS_ADJ,sweep_1,1,2000,91,-0.0065727312052913465,-0.002985341788546141
MPS_ADJ,sweep_1,1,2010,76,-0.005323998156944067,0.029370530642079611
MPS_ADJ,sweep_1,1,2020,45,-0.004815922715391263,-0.0094346837240089441
MPS_ADJ,sweep_1,-1,1990,3,0.051612451739197852,0.030637579774704615
MPS_ADJ,sweep_1,-1,2000,59,0.016560973373792073,0.012973583957046866
MPS_ADJ,sweep_1,-1,2010,74,0.07282392173843695,0.038129392939413261
MPS_ADJ,sweep_1,-1,2020,61,-0.017545450649355789,-0.012926689640738107
MPS_ADJ,fvg_disp,-1,1990,2,-0.020651740764362103,-0.041626612728855344
MPS_ADJ,fvg_disp,-1,2000,35,0.0063854317162771804,0.0027980422995319706
MPS_ADJ,fvg_disp,-1,2010,56,0.0098158354970728345,-0.024878693301950843
MPS_ADJ,fvg_disp,-1,2020,25,0.017865063117452552,0.022483824126070241
MPS_ADJ,sweep_fvg,-1,1990,1,-0.054496093887592911,-0.075470965852086153
MPS_ADJ,sweep_fvg,-1,2000,8,-0.030110254357818458,-0.033697643774563669
MPS_ADJ,sweep_fvg,-1,2010,22,0.058990648328896438,0.024296119529872751
MPS_ADJ,sweep_fvg,-1,2020,9,-0.0045365894225406489,8.2171586077030748e-05
MPS_ADJ,fvg_disp,1,2000,37,0.011374765670406111,0.014962155087151317
MPS_ADJ,fvg_disp,1,2010,26,-0.04325763014569925,-0.0085631013466755737
MPS_ADJ,fvg_disp,1,2020,23,0.024172173951862205,0.01955341294324452
MPS_ADJ,sweep_fvg,1,2000,16,0.018541220582656108,0.022128609999401312
MPS_ADJ,sweep_fvg,1,2010,11,-0.014551889135967177,0.020142639663056506
MPS_ADJ,sweep_fvg,1,2020,6,0.03989840939795334,0.035279648389335651
ORELL,sweep_1,-1,1990,8,-0.040552957213031773,0.0021058429800665697
ORELL,sweep_1,-1,2000,35,-0.022212106021024317,-0.028218548311719868
ORELL,sweep_1,-1,2010,45,-0.0054101267549285887,-0.0059114369812362563
