asset,rule,direction,horizon,period,formed,n,mean,median,sd,q25,q75,positive,baseline,excess,ci_low,ci_high
NQ_YAHOO,breakout_13,1,4,late,85,85,0.007154374208,0.0175187086,0.05056749868,-0.02477423954,0.03991510121,0.6470588235,0.01687469275,-0.009720318545,,
NQ_YAHOO,fvg_disp,1,4,late,48,47,0.0132248021,0.02634432167,0.05395198395,-0.007073803892,0.04802614575,0.6808510638,0.01636588708,-0.00314108498,,
NQ_YAHOO,sweep_fvg,1,4,late,20,19,0.01274112182,0.01148499746,0.04835574036,-0.02135928296,0.05109481315,0.5789473684,0.01668609152,-0.003944969695,,
NQ_YAHOO,sweep_52,-1,4,late,44,44,-0.006392476419,-0.01977648077,0.05688081282,-0.03774736583,0.02637593473,0.3409090909,-0.01626969919,0.009877222768,,
NQ_YAHOO,breakout_52,1,4,late,73,73,0.005610248435,0.01731811438,0.05175626998,-0.0341059521,0.03991303323,0.6438356164,0.0165561217,-0.01094587327,,
NQ_YAHOO,breakout_52,-1,4,late,6,6,-0.02712375311,-0.01928681359,0.05845827113,-0.07159617201,0.0130190141,0.5,-0.01570459531,-0.0114191578,,
NQ_YAHOO,sweep_52,1,4,late,7,7,0.07178656039,0.07913240377,0.08831069933,0.02582381587,0.1220993412,0.7142857143,0.01748063607,0.05430592432,,
NQ_YAHOO,breakout_1,-1,13,all,210,165,-0.042894616,-0.0600650608,0.1145493862,-0.1163482711,0.007765867361,0.2787878788,-0.02815958492,-0.01473503108,,
NQ_YAHOO,fvg_raw,-1,13,all,90,69,-0.04634953441,-0.07401466544,0.1115937827,-0.09802404627,0.01105881019,0.3043478261,-0.03077090753,-0.01557862688,,
NQ_YAHOO,breakout_1,1,13,all,412,361,0.02358953929,0.02767726161,0.08565832822,-0.02032520325,0.07263614602,0.6731301939,0.03479373467,-0.01120419538,,
NQ_YAHOO,sweep_4,1,13,all,144,119,0.03538384102,0.05844997408,0.1220486318,-0.01893591583,0.1017383592,0.7058823529,0.02920844197,0.00617539905,,
NQ_YAHOO,breakout_4,-1,13,all,117,89,-0.05291033928,-0.07710179315,0.1153487498,-0.121740632,0.001200670563,0.2696629213,-0.02865185298,-0.0242584863,,
NQ_YAHOO,sweep_1,1,13,all,210,177,0.03340900707,0.05844997408,0.110530326,-0.01183462802,0.09735595293,0.7062146893,0.0318223294,0.001586677676,,
NQ_YAHOO,sweep_1,-1,13,all,230,197,-0.03870784427,-0.04574468085,0.08718255012,-0.08694554717,0.003605534983,0.2588832487,-0.0291477999,-0.00956004437,,
NQ_YAHOO,sweep_13,1,13,all,59,45,0.03436268712,0.0623885918,0.1566661177,-0.03043950924,0.1205793552,0.6666666667,0.02728634779,0.007076339331,,
NQ_YAHOO,sweep_4,-1,13,all,219,191,-0.03517109957,-0.0442407256,0.07273215358,-0.07806442637,9.169499331e-05,0.2513089005,-0.03282453926,-0.00234656031,,
NQ_YAHOO,fvg_disp,-1,13,all,59,49,-0.04143357212,-0.07169396421,0.1088203264,-0.09011054086,0.0126148575,0.306122449,-0.02919802248,-0.01223554965,,
NQ_YAHOO,sweep_fvg,-1,13,all,24,19,-0.05903471452,-0.07401466544,0.0814555018,-0.09704076189,-0.02846644846,0.1578947368,-0.02921356031,-0.02982115421,,
